uid,treatment,converted,uplift_s,uplift_t,user_type,is_new,log_cnt,avg_during_time
87,1,1,0.0,0.9901462058251262,Persuadable (Priority),0,31,11655.645161290322
263,1,1,0.0,0.9891009627277456,Persuadable (Priority),1,22,11787.09090909091
400,1,1,0.0,0.9882853763400269,Persuadable (Priority),1,20,12127.6
725,1,1,0.0,0.9865498120612477,Persuadable (Priority),1,20,9507.15
707,1,1,0.0,0.9865498120612477,Persuadable (Priority),1,27,9658.074074074075
394,1,1,0.0,0.9865498120612477,Persuadable (Priority),1,26,9645.76923076923
405,1,1,0.0,0.9865498120612477,Persuadable (Priority),1,29,9219.0
166,1,1,0.0,0.9865498120612477,Persuadable (Priority),1,23,9599.434782608696
430,1,1,0.0,0.9865498120612477,Persuadable (Priority),1,23,9846.173913043478
418,1,1,0.0,0.9865498120612477,Persuadable (Priority),1,24,9489.708333333334
396,1,1,0.0,0.9865498120612477,Persuadable (Priority),1,24,9831.166666666666
852,1,1,0.0,0.9865498120612477,Persuadable (Priority),1,30,9381.633333333333
178,1,1,0.0,0.9865498120612477,Persuadable (Priority),1,31,9589.322580645161
605,1,1,0.0,0.9865498120612477,Persuadable (Priority),1,21,10277.380952380952
20,1,1,0.0,0.9865498120612477,Persuadable (Priority),1,43,9931.67441860465
979,1,1,0.0,0.9865498120612477,Persuadable (Priority),1,20,8932.3
628,1,1,0.0,0.9865498120612477,Persuadable (Priority),1,46,10336.95652173913
583,1,1,0.0,0.9865498120612477,Persuadable (Priority),1,27,10191.814814814816
221,1,1,0.0,0.9865498120612477,Persuadable (Priority),1,27,9398.148148148148
863,1,1,0.0,0.9865498120612477,Persuadable (Priority),1,33,9607.121212121212
32,1,1,0.0,0.9865498120612477,Persuadable (Priority),1,22,9030.363636363636
830,1,1,0.0,0.9865498120612477,Persuadable (Priority),1,20,9704.8
897,1,1,0.0,0.9865498120612477,Persuadable (Priority),1,25,10433.6
287,1,1,0.0,0.9865498120612477,Persuadable (Priority),1,35,9685.8
553,1,1,0.0,0.9865498120612477,Persuadable (Priority),1,22,10012.227272727272
284,1,1,0.0,0.9865498120612477,Persuadable (Priority),1,30,9977.766666666666
330,1,1,0.0,0.9865498120612477,Persuadable (Priority),1,20,10094.4
495,1,1,0.0,0.9865498120612477,Persuadable (Priority),1,21,9766.333333333334
533,1,1,0.0,0.9865498120612477,Persuadable (Priority),1,31,9588.387096774193
788,1,1,0.0,0.9865498120612477,Persuadable (Priority),1,20,9797.15
767,1,1,0.0,0.9865498120612477,Persuadable (Priority),1,32,9159.9375
83,1,1,0.0,0.9865498120612477,Persuadable (Priority),1,41,9597.19512195122
73,1,1,0.0,0.986381699743089,Persuadable (Priority),1,31,12006.483870967742
511,1,1,0.0,0.9858010040716672,Persuadable (Priority),1,24,11423.333333333334
536,1,1,0.0,0.9856668587203008,Persuadable (Priority),1,23,11804.304347826086
729,1,1,0.0,0.9855641510177607,Persuadable (Priority),1,30,8585.166666666666
548,1,1,0.0,0.9855641510177607,Persuadable (Priority),1,31,8536.58064516129
359,1,1,0.0,0.9855641510177607,Persuadable (Priority),1,29,8598.448275862069
386,1,1,0.0,0.9855641510177607,Persuadable (Priority),1,20,8620.65
586,1,1,0.0,0.9855641510177607,Persuadable (Priority),1,22,8724.90909090909
518,1,1,0.0,0.9855641510177607,Persuadable (Priority),1,27,8351.407407407407
120,1,1,0.0,0.9855641510177607,Persuadable (Priority),1,25,8572.16
276,1,1,0.0,0.9855641510177607,Persuadable (Priority),1,27,8606.0
757,1,1,0.0,0.9853007304430081,Persuadable (Priority),1,29,7295.0344827586205
271,1,1,0.0,0.9851225721023773,Persuadable (Priority),1,24,6891.75
854,1,1,0.0,0.9851225721023773,Persuadable (Priority),1,26,6966.2692307692305
877,1,1,0.0,0.9848502358343475,Persuadable (Priority),1,25,7117.92
945,1,1,0.0,0.9848502358343475,Persuadable (Priority),1,22,7148.090909090909
109,1,1,0.0,0.984584616532965,Persuadable (Priority),1,21,7915.142857142857
635,1,1,0.0,0.9845013836559668,Persuadable (Priority),1,24,7833.083333333333
657,1,1,0.0,0.9843516141070163,Persuadable (Priority),1,21,8255.047619047618
415,1,1,0.0,0.9843516141070163,Persuadable (Priority),1,46,8267.391304347826
453,1,1,0.0,0.9843516141070163,Persuadable (Priority),1,31,8302.677419354839
192,1,1,0.0,0.9841318076160531,Persuadable (Priority),1,30,6920.066666666667
866,1,1,0.0,0.9841103294894546,Persuadable (Priority),1,35,7868.171428571429
599,1,1,0.0,0.9841103294894546,Persuadable (Priority),1,32,7897.4375
711,1,1,0.0,0.9841103294894546,Persuadable (Priority),1,25,7701.64
924,1,1,0.0,0.9840243336018303,Persuadable (Priority),1,23,7318.0
281,1,1,0.0,0.9840243336018303,Persuadable (Priority),1,34,7893.470588235294
977,1,1,0.0,0.9840243336018303,Persuadable (Priority),1,20,7585.5
494,1,1,0.0,0.9840243336018303,Persuadable (Priority),1,25,7388.84
77,1,1,0.0,0.9840243336018303,Persuadable (Priority),1,20,7492.65
50,1,1,0.0,0.9840243336018303,Persuadable (Priority),1,31,8028.870967741936
504,1,1,0.0,0.9840243336018303,Persuadable (Priority),1,21,7879.761904761905
961,1,1,0.0,0.9840243336018303,Persuadable (Priority),1,20,7553.55
403,1,1,0.0,0.9840243336018303,Persuadable (Priority),1,23,7872.391304347826
4,1,1,0.0,0.9840243336018303,Persuadable (Priority),1,23,7414.521739130435
160,1,1,0.0,0.9840243336018303,Persuadable (Priority),1,21,7666.047619047619
915,1,1,0.0,0.9840243336018303,Persuadable (Priority),1,20,7660.25
24,1,1,0.0,0.9840243336018303,Persuadable (Priority),1,20,7844.9
22,1,1,0.0,0.9840243336018303,Persuadable (Priority),1,24,7737.458333333333
324,1,1,0.0,0.9840243336018303,Persuadable (Priority),1,21,7862.9047619047615
232,1,1,0.0,0.9840243336018303,Persuadable (Priority),1,20,7162.2
380,1,1,0.0,0.9840243336018303,Persuadable (Priority),1,21,7944.857142857143
94,1,1,0.0,0.9840243336018303,Persuadable (Priority),1,22,7367.136363636364
106,1,1,0.0,0.9840243336018303,Persuadable (Priority),1,29,7592.620689655172
999,1,1,0.0,0.9840243336018303,Persuadable (Priority),1,29,7802.103448275862
670,1,1,0.0,0.9840243336018303,Persuadable (Priority),1,20,7109.45
690,1,1,0.0,0.9838440391112548,Persuadable (Priority),1,25,10805.92
180,1,1,0.0,0.9838440391112548,Persuadable (Priority),1,31,10679.677419354839
182,1,1,0.0,0.9838440391112548,Persuadable (Priority),1,44,10804.181818181818
502,1,1,0.0,0.9837595013944049,Persuadable (Priority),1,46,9630.369565217392
331,1,1,0.0,0.9837595013944049,Persuadable (Priority),1,27,9789.222222222223
955,1,1,0.0,0.9836424949715005,Persuadable (Priority),1,24,6923.666666666667
408,1,1,0.0,0.983329735646314,Persuadable (Priority),1,31,9606.032258064517
738,1,1,0.0,0.983329735646314,Persuadable (Priority),1,32,9799.4375
500,1,1,0.0,0.983329735646314,Persuadable (Priority),1,25,8762.12
965,1,1,0.0,0.983329735646314,Persuadable (Priority),1,57,8811.473684210527
188,1,1,0.0,0.983329735646314,Persuadable (Priority),1,39,9052.692307692309
195,1,1,0.0,0.983329735646314,Persuadable (Priority),1,32,8988.21875
936,1,1,0.0,0.983329735646314,Persuadable (Priority),1,20,10281.45
825,1,1,0.0,0.983329735646314,Persuadable (Priority),1,41,9469.390243902439
316,1,1,0.0,0.983329735646314,Persuadable (Priority),1,37,8806.675675675675
847,1,1,0.0,0.983329735646314,Persuadable (Priority),1,27,9298.851851851852
310,1,1,0.0,0.983329735646314,Persuadable (Priority),1,35,8890.257142857143
55,1,1,0.0,0.983329735646314,Persuadable (Priority),1,25,9481.4
222,1,1,0.0,0.983329735646314,Persuadable (Priority),1,28,10252.5
662,1,1,0.0,0.983329735646314,Persuadable (Priority),1,49,10024.57142857143
148,1,1,0.0,0.983329735646314,Persuadable (Priority),1,48,9851.75
992,1,1,0.0,0.983329735646314,Persuadable (Priority),1,39,8795.48717948718
994,1,1,0.0,0.9830472611167745,Persuadable (Priority),1,22,8084.181818181818
693,1,1,0.0,0.982955082068335,Persuadable (Priority),1,21,7435.0952380952385
144,1,1,0.0,0.982344074602827,Persuadable (Priority),1,32,8361.28125
554,1,1,0.0,0.982344074602827,Persuadable (Priority),1,30,8370.433333333332
575,1,1,0.0,0.982344074602827,Persuadable (Priority),1,24,8335.041666666666
805,1,1,0.0,0.982344074602827,Persuadable (Priority),1,42,8580.619047619048
117,1,1,0.0,0.982344074602827,Persuadable (Priority),1,32,8415.96875
779,1,1,0.0,0.9811956448161769,Persuadable (Priority),1,27,9861.851851851852
742,1,1,0.0,0.9811956448161769,Persuadable (Priority),1,20,9302.1
914,1,1,0.0,0.9810537284444121,Persuadable (Priority),1,41,10676.414634146342
146,1,1,0.0,0.9799257435862438,Persuadable (Priority),1,28,8144.357142857143
252,1,1,0.0,0.9799257435862438,Persuadable (Priority),1,26,8146.923076923077
647,1,1,0.0,0.9799257435862438,Persuadable (Priority),1,27,8192.407407407407
660,1,1,0.0,0.9797607240742214,Persuadable (Priority),1,27,11548.666666666666
803,1,1,0.0,0.9797080080426415,Persuadable (Priority),1,30,11061.433333333332
236,1,1,0.0,0.9796231487627209,Persuadable (Priority),1,31,9435.806451612903
565,1,1,0.0,0.9796231487627209,Persuadable (Priority),1,20,10302.3
920,1,1,0.0,0.979475215432659,Persuadable (Priority),1,28,12038.67857142857
128,1,1,0.0,0.9791719196495231,Persuadable (Priority),1,20,9644.15
249,1,1,0.0,0.9791719196495231,Persuadable (Priority),1,20,10001.95
6,1,1,0.0,0.9791719196495231,Persuadable (Priority),1,35,9513.457142857143
859,1,1,0.0,0.9791719196495231,Persuadable (Priority),1,22,10515.227272727272
186,1,1,0.0,0.9791719196495231,Persuadable (Priority),1,29,9582.551724137931
926,1,1,0.0,0.9791719196495231,Persuadable (Priority),1,29,10534.172413793103
171,1,1,0.0,0.9791719196495231,Persuadable (Priority),1,20,9230.5
43,1,1,0.0,0.9791719196495231,Persuadable (Priority),1,20,8988.3
