用户ID,convert_prob,predicted,actual
834778,0.9998728,1,1
115083,0.9998728,1,1
610386,0.9998728,1,1
749390,0.9998728,1,1
728631,0.9998728,1,1
861869,0.9998728,1,1
814835,0.9998728,1,1
242347,0.9998728,1,1
200193,0.9998728,1,1
652715,0.9998728,1,1
663596,0.9998728,1,1
225010,0.9998728,1,1
526079,0.9998728,1,1
338188,0.9998728,1,1
581314,0.9998728,1,1
252076,0.9998728,1,1
802052,0.9998728,1,1
711840,0.9998728,1,1
815321,0.9998728,1,1
874995,0.9998728,1,1
716999,0.9998728,1,1
881123,0.9998728,1,1
161419,0.9998728,1,1
627979,0.9998728,1,1
729878,0.9998728,1,1
446161,0.9998728,1,1
717055,0.9998728,1,1
521844,0.9998728,1,1
829151,0.9998728,1,1
314151,0.9998728,1,1
957727,0.9998728,1,1
216577,0.9998728,1,1
543943,0.9998728,1,1
799624,0.9998728,1,1
588856,0.9998728,1,1
824574,0.9998728,1,1
251507,0.9998728,1,1
168138,0.9998728,1,1
991632,0.9998728,1,1
933079,0.9998728,1,1
897539,0.9998728,1,1
131917,0.9998728,1,1
610874,0.9998728,1,1
641189,0.9998728,1,1
303458,0.9998728,1,1
858780,0.9998728,1,1
782373,0.9998728,1,1
289766,0.9998728,1,1
472006,0.9998728,1,1
312429,0.9998728,1,1
459171,0.9998728,1,1
445810,0.9998728,1,1
618124,0.9998728,1,1
837311,0.9998728,1,1
599744,0.9998728,1,1
937898,0.9998728,1,1
744531,0.9998728,1,1
224420,0.9998728,1,1
290992,0.9998728,1,1
190304,0.9998728,1,1
996709,0.9998728,1,1
128365,0.9998728,1,1
235664,0.9998728,1,1
978592,0.9998728,1,1
861075,0.9998728,1,1
722913,0.9998728,1,1
309396,0.9998728,1,1
651382,0.9998728,1,1
772083,0.9998728,1,1
627370,0.9998728,1,1
978445,0.9998728,1,1
702376,0.9998728,1,1
108891,0.9998728,1,1
905916,0.9998728,1,1
482865,0.9998728,1,1
440850,0.9998728,1,1
426749,0.9998728,1,1
824723,0.99987113,1,1
294770,0.99987113,1,1
410477,0.99987113,1,1
753094,0.99987113,1,1
903769,0.99987113,1,1
759093,0.99987113,1,1
382154,0.99987113,1,1
497418,0.99987113,1,1
988004,0.99987113,1,1
569953,0.99987113,1,1
636287,0.99987113,1,1
221991,0.99987113,1,1
848055,0.99987113,1,1
512609,0.99987113,1,1
405516,0.99987113,1,1
800568,0.99987113,1,1
974067,0.99987113,1,1
436853,0.99987113,1,1
586783,0.99987113,1,1
249682,0.99987113,1,1
779157,0.99987113,1,1
727912,0.99987113,1,1
633553,0.99987113,1,1
483433,0.99987113,1,1
385316,0.99987113,1,1
276500,0.99987113,1,1
599186,0.99987113,1,1
445765,0.99987113,1,1
403909,0.99987113,1,1
494758,0.99987113,1,1
319528,0.99987113,1,1
914364,0.99987113,1,1
955394,0.99987113,1,1
439396,0.99987113,1,1
410157,0.99987113,1,1
182353,0.99987113,1,1
500200,0.99987113,1,1
315790,0.99987113,1,1
507815,0.99987113,1,1
914974,0.99987113,1,1
762654,0.99987113,1,1
682772,0.99987113,1,1
416385,0.99987113,1,1
718821,0.99987113,1,1
320862,0.99987113,1,1
287459,0.99987113,1,1
270272,0.99987113,1,1
244272,0.99987113,1,1
543219,0.99987113,1,1
532628,0.99987113,1,1
336286,0.99987113,1,1
362060,0.99987113,1,1
266195,0.99987113,1,1
332454,0.99987113,1,1
209915,0.99987113,1,1
254358,0.99987113,1,1
159528,0.99987113,1,1
771207,0.99987113,1,1
891907,0.99987113,1,1
833534,0.99987113,1,1
680527,0.99987113,1,1
436789,0.99987113,1,1
702797,0.99987113,1,1
131251,0.99987113,1,1
601465,0.99987113,1,1
561904,0.99987113,1,1
757012,0.99987113,1,1
644328,0.99987113,1,1
673957,0.99987113,1,1
574274,0.99987113,1,1
450495,0.99987113,1,1
391996,0.99987113,1,1
737370,0.99987113,1,1
706952,0.99987113,1,1
246841,0.99987113,1,1
712613,0.99987113,1,1
974381,0.99987113,1,1
969137,0.99987113,1,1
613986,0.99987113,1,1
745054,0.99987113,1,1
501874,0.99987113,1,1
842949,0.99987113,1,1
264158,0.99987113,1,1
204618,0.99987113,1,1
510829,0.99987113,1,1
105846,0.99987113,1,1
224925,0.99987113,1,1
300831,0.99987113,1,1
260064,0.99987113,1,1
942852,0.99987113,1,1
438619,0.99987113,1,1
285313,0.99987113,1,1
815740,0.99987113,1,1
406260,0.99987113,1,1
630904,0.99987113,1,1
507704,0.99987113,1,1
609955,0.99987113,1,1
448378,0.99987113,1,1
236040,0.99987113,1,1
446954,0.99987113,1,1
696940,0.99987113,1,1
332751,0.99987113,1,1
980002,0.99987113,1,1
772156,0.99987113,1,1
144874,0.99987113,1,1
655168,0.99987113,1,1
874329,0.99987113,1,1
419164,0.99987113,1,1
480124,0.99987113,1,1
329581,0.99987113,1,1
811590,0.99987113,1,1
860158,0.99987113,1,1
268632,0.99987113,1,1
167171,0.99987113,1,1
824000,0.99987113,1,1
446500,0.99987113,1,1
463738,0.99987113,1,1
201442,0.99987113,1,1
639723,0.99987113,1,1
876370,0.99987113,1,1
833023,0.99987113,1,1
754374,0.99987113,1,1
104960,0.99987113,1,1
913874,0.99987113,1,1
299681,0.99987113,1,1
999453,0.99987113,1,1
294660,0.99987113,1,1
472860,0.99987113,1,1
641372,0.99987113,1,1
713856,0.99987113,1,1
976867,0.99987113,1,1
424989,0.99987113,1,1
287213,0.99987113,1,1
523954,0.99987113,1,1
481032,0.99987113,1,1
136136,0.99987113,1,1
381829,0.99987113,1,1
576401,0.99987113,1,1
241259,0.99987113,1,1
396802,0.99987113,1,1
376609,0.99987113,1,1
220146,0.99987113,1,1
194155,0.99987113,1,1
973113,0.99987113,1,1
869510,0.99987113,1,1
797581,0.99987113,1,1
444440,0.99987113,1,1
914201,0.99987113,1,1
937537,0.99987113,1,1
426550,0.99987113,1,1
186183,0.99987113,1,1
364294,0.99987113,1,1
828509,0.99987113,1,1
598124,0.99987113,1,1
420066,0.99987113,1,1
142843,0.99987113,1,1
319755,0.99987113,1,1
495904,0.99987113,1,1
689200,0.99987113,1,1
860296,0.99987113,1,1
928184,0.99987113,1,1
801815,0.99987113,1,1
259699,0.99987113,1,1
715806,0.99987113,1,1
154274,0.99987113,1,1
988126,0.99987113,1,1
295548,0.99987113,1,1
550853,0.99987113,1,1
822200,0.99987113,1,1
553354,0.99987113,1,1
537528,0.99987113,1,1
689890,0.99987113,1,1
244880,0.99987113,1,1
147915,0.99987113,1,1
818066,0.99987113,1,1
565595,0.99987113,1,1
745000,0.99987113,1,1
800410,0.99987113,1,1
908037,0.99987113,1,1
856860,0.99987113,1,1
369778,0.99987113,1,1
364845,0.99987113,1,1
438290,0.99987113,1,1
159869,0.99987113,1,1
429907,0.99987113,1,1
933025,0.99987113,1,1
460919,0.99987113,1,1
459736,0.99987113,1,1
695423,0.99987113,1,1
822451,0.99987113,1,1
476918,0.99987113,1,1
592454,0.99987113,1,1
126025,0.99987113,1,1
657009,0.99987113,1,1
156386,0.99987113,1,1
993584,0.99987113,1,1
425425,0.99987113,1,1
303389,0.99987113,1,1
497251,0.99987113,1,1
457393,0.99987113,1,1
117484,0.99987113,1,1
183809,0.99987113,1,1
772340,0.99987113,1,1
782169,0.99987113,1,1
281412,0.99987113,1,1
248307,0.99987113,1,1
349166,0.99987113,1,1
698681,0.99987113,1,1
300259,0.99987113,1,1
829070,0.99987113,1,1
960093,0.99987113,1,1
348403,0.99987113,1,1
638777,0.99987113,1,1
213334,0.99987113,1,1
420201,0.99987113,1,1
646285,0.99987113,1,1
154278,0.99987113,1,1
588288,0.99987113,1,1
624884,0.99987113,1,1
982712,0.99987113,1,1
109581,0.99987113,1,1
754261,0.99987113,1,1
198098,0.99987113,1,1
377531,0.99987113,1,1
933201,0.99987113,1,1
177268,0.99987113,1,1
924052,0.99987006,1,1
649684,0.99987006,1,1
305473,0.99987006,1,1
384150,0.99987006,1,1
154231,0.99987006,1,1
550938,0.99987006,1,1
129600,0.99987006,1,1
719247,0.99987006,1,1
872406,0.99987006,1,1
558594,0.99987006,1,1
499630,0.99987006,1,1
707634,0.99987006,1,1
886676,0.99987006,1,1
663335,0.99987006,1,1
699893,0.99987006,1,1
786531,0.99987006,1,1
851904,0.99987006,1,1
478624,0.99987006,1,1
405506,0.99987006,1,1
887661,0.99987006,1,1
127779,0.99987006,1,1
213449,0.99987006,1,1
255531,0.99987006,1,1
615299,0.99987006,1,1
883597,0.99987006,1,1
498783,0.99987006,1,1
934629,0.99987006,1,1
362541,0.99987006,1,1
796525,0.99987006,1,1
584072,0.99987006,1,1
281022,0.99987006,1,1
919630,0.99987006,1,1
698194,0.99987006,1,1
850509,0.99987006,1,1
940769,0.99987006,1,1
317773,0.99987006,1,1
675280,0.99987006,1,1
806388,0.99987006,1,1
556551,0.99987006,1,1
416368,0.99987006,1,1
490927,0.99987006,1,1
681262,0.99987006,1,1
815589,0.99987006,1,1
577467,0.99987006,1,1
492152,0.99987006,1,1
518274,0.99987006,1,1
351355,0.99987006,1,1
657157,0.99987006,1,1
504584,0.99987006,1,1
206237,0.99987006,1,1
128492,0.99987006,1,1
210049,0.99987006,1,1
331699,0.99987006,1,1
491420,0.99987006,1,1
123437,0.99987006,1,1
138371,0.99987006,1,1
403848,0.99987006,1,1
164677,0.99987006,1,1
194422,0.99987006,1,1
749682,0.99987006,1,1
360683,0.99987006,1,1
663184,0.99987006,1,1
474246,0.99987006,1,1
756698,0.99987006,1,1
270035,0.99987006,1,1
400852,0.99987006,1,1
242218,0.99987006,1,1
670752,0.99987006,1,1
799938,0.99987006,1,1
372753,0.99987006,1,1
574283,0.99987006,1,1
327809,0.99987006,1,1
891768,0.99987006,1,1
228660,0.99987006,1,1
111612,0.99987006,1,1
997231,0.99987006,1,1
432797,0.99987006,1,1
159753,0.99987006,1,1
851554,0.99987006,1,1
674140,0.99987006,1,1
256752,0.99987006,1,1
417915,0.9998684,1,1
456942,0.9998684,1,1
896565,0.9998684,1,1
275779,0.9998684,1,1
747439,0.9998684,1,1
376941,0.9998684,1,1
925868,0.9998684,1,1
878370,0.9998684,1,1
937382,0.9998684,1,1
834057,0.9998684,1,1
476748,0.9998684,1,1
428587,0.9998684,1,1
926859,0.9998684,1,1
364941,0.9998684,1,1
949080,0.9998684,1,1
414499,0.9998684,1,1
749637,0.9998684,1,1
863214,0.9998684,1,1
904341,0.9998684,1,1
973144,0.9998684,1,1
377110,0.9998684,1,1
125522,0.9998684,1,1
682363,0.9998684,1,1
813263,0.9998684,1,1
914287,0.9998684,1,1
360403,0.9998684,1,1
602788,0.9998684,1,1
232013,0.9998684,1,1
354055,0.9998684,1,1
658374,0.9998684,1,1
501166,0.9998684,1,1
209465,0.9998684,1,1
874677,0.9998684,1,1
649630,0.9998684,1,1
577193,0.9998684,1,1
104743,0.9998684,1,1
923406,0.9998684,1,1
806716,0.9998684,1,1
324631,0.9998684,1,1
790709,0.9998684,1,1
258218,0.9998684,1,1
459776,0.9998684,1,1
647117,0.9998684,1,1
592141,0.9998684,1,1
454911,0.9998684,1,1
764519,0.9998684,1,1
887245,0.9998684,1,1
800599,0.9998684,1,1
993493,0.9998684,1,1
714857,0.9998684,1,1
150074,0.9998684,1,1
748622,0.9998684,1,1
986444,0.9998684,1,1
818230,0.9998684,1,1
154920,0.9998684,1,1
543149,0.9998684,1,1
541783,0.9998684,1,1
817575,0.9998684,1,1
393201,0.9998684,1,1
844138,0.9998684,1,1
243995,0.9998684,1,1
402674,0.9998684,1,1
502981,0.9998684,1,1
946675,0.9998684,1,1
371243,0.9998684,1,1
125162,0.9998684,1,1
386117,0.9998684,1,1
272832,0.9998684,1,1
211245,0.9998684,1,1
673696,0.9998684,1,1
861457,0.9998684,1,1
790906,0.9998684,1,1
805226,0.9998684,1,1
857654,0.9998684,1,1
249141,0.9998684,1,1
494443,0.9998684,1,1
905926,0.9998684,1,1
795306,0.9998684,1,1
254285,0.9998684,1,1
799489,0.9998684,1,1
123971,0.9998684,1,1
448493,0.9998684,1,1
316151,0.9998684,1,1
765843,0.9998684,1,1
318698,0.9998684,1,1
768737,0.9998684,1,1
569141,0.9998684,1,1
548985,0.9998684,1,1
665999,0.9998684,1,1
607874,0.9998684,1,1
210765,0.9998684,1,1
542515,0.9998684,1,1
654896,0.9998684,1,1
295676,0.9998684,1,1
766825,0.9998684,1,1
815109,0.9998684,1,1
775523,0.9998684,1,1
302210,0.9998684,1,1
229178,0.9998684,1,1
536722,0.9998684,1,1
978716,0.9998684,1,1
843932,0.9998684,1,1
984897,0.9998684,1,1
963114,0.9998684,1,1
130160,0.9998684,1,1
668678,0.9998684,1,1
597960,0.9998684,1,1
662434,0.9998684,1,1
341072,0.9998684,1,1
759567,0.9998684,1,1
983640,0.9998684,1,1
969219,0.9998684,1,1
525738,0.9998684,1,1
446561,0.9998684,1,1
620372,0.9998684,1,1
739393,0.9998684,1,1
506739,0.9998684,1,1
423218,0.9998684,1,1
261567,0.9998684,1,1
532841,0.9998684,1,1
451930,0.9998684,1,1
230015,0.9998684,1,1
218662,0.9998684,1,1
272056,0.9998684,1,1
360554,0.9998684,1,1
730136,0.9998684,1,1
232098,0.9998684,1,1
725736,0.9998684,1,1
667354,0.9998684,1,1
626367,0.9998684,1,1
913100,0.9998684,1,1
233946,0.9998684,1,1
706122,0.9998684,1,1
506494,0.9998684,1,1
474242,0.9998684,1,1
702729,0.9998684,1,1
614695,0.9998684,1,1
250621,0.9998684,1,1
268191,0.9998684,1,1
351864,0.9998684,1,1
171890,0.9998684,1,1
442202,0.9998684,1,1
862960,0.9998684,1,1
236729,0.9998684,1,1
893068,0.9998684,1,1
202462,0.9998684,1,1
276851,0.9998684,1,1
436736,0.9998684,1,1
697903,0.9998684,1,1
955014,0.9998684,1,1
159127,0.9998684,1,1
548163,0.9998684,1,1
756884,0.9998684,1,1
262970,0.9998684,1,1
215669,0.9998684,1,1
174647,0.9998684,1,1
473790,0.9998684,1,1
481870,0.9998684,1,1
135721,0.9998684,1,1
813269,0.9998684,1,1
614575,0.9998684,1,1
294318,0.9998684,1,1
142896,0.9998684,1,1
214882,0.9998684,1,1
115115,0.9998684,1,1
884776,0.9998684,1,1
491228,0.9998684,1,1
435264,0.9998684,1,1
280323,0.9998684,1,1
905946,0.9998684,1,1
254032,0.9998684,1,1
221453,0.9998684,1,1
269685,0.9998684,1,1
697304,0.9998684,1,1
243060,0.9998684,1,1
344773,0.9998684,1,1
773562,0.9998684,1,1
561521,0.9998684,1,1
342641,0.9998684,1,1
320335,0.9998684,1,1
196342,0.9998684,1,1
832276,0.9998684,1,1
456845,0.9998684,1,1
356261,0.9998684,1,1
979660,0.9998684,1,1
135118,0.9998684,1,1
981829,0.9998684,1,1
134873,0.9998684,1,1
961820,0.9998684,1,1
208764,0.9998684,1,1
825463,0.9998684,1,1
211735,0.9998684,1,1
697839,0.9998684,1,1
873636,0.9998684,1,1
425517,0.9998684,1,1
724045,0.9998684,1,1
581053,0.9998684,1,1
598679,0.9998684,1,1
370667,0.9998684,1,1
582059,0.9998684,1,1
298386,0.9998684,1,1
358664,0.9998684,1,1
758815,0.9998684,1,1
264568,0.9998684,1,1
574087,0.9998684,1,1
531080,0.9998684,1,1
393881,0.9998684,1,1
768810,0.9998684,1,1
838036,0.9998684,1,1
240465,0.9998684,1,1
346320,0.9998684,1,1
431089,0.9998684,1,1
946995,0.9998684,1,1
899013,0.9998684,1,1
286050,0.9998684,1,1
375011,0.9998684,1,1
223421,0.9998684,1,1
212308,0.9998684,1,1
838154,0.9998684,1,1
111480,0.9998684,1,1
551371,0.9998684,1,1
150600,0.9998684,1,1
710690,0.9998684,1,1
222146,0.9998684,1,1
826613,0.9998684,1,1
515720,0.9998684,1,1
132063,0.9998684,1,1
913461,0.9998684,1,1
661346,0.99985766,1,1
654006,0.99985766,1,1
791374,0.99985766,1,1
805888,0.99985766,1,1
334026,0.99985766,1,1
506801,0.99985766,1,1
261929,0.99985766,1,1
939942,0.99985766,1,1
133386,0.99985766,1,1
676639,0.99985766,1,1
926273,0.99985766,1,1
954247,0.99985766,1,1
846882,0.99985766,1,1
952474,0.99985766,1,1
199757,0.99985766,1,1
188800,0.99985766,1,1
280682,0.99985766,1,1
206347,0.99985766,1,1
743032,0.99985766,1,1
694646,0.99985766,1,1
586027,0.99985766,1,1
433880,0.99985766,1,1
412976,0.99985766,1,1
761290,0.99985766,1,1
225895,0.99985766,1,1
344213,0.99985766,1,1
328312,0.99985766,1,1
477053,0.99985766,1,1
828659,0.99985766,1,1
579384,0.99985766,1,1
555516,0.99985766,1,1
456020,0.99985766,1,1
833885,0.99985766,1,1
368973,0.99985766,1,1
403656,0.99985766,1,1
194671,0.99985766,1,1
399220,0.99985766,1,1
900962,0.99985766,1,1
772714,0.99985766,1,1
680639,0.99985766,1,1
366742,0.99985766,1,1
699261,0.99985766,1,1
975459,0.99985766,1,1
231665,0.99985766,1,1
851805,0.99985766,1,1
990502,0.99985766,1,1
922727,0.99985766,1,1
436748,0.99985766,1,1
248492,0.99985766,1,1
909365,0.99985766,1,1
608778,0.99985766,1,1
808745,0.99985766,1,1
553051,0.99985766,1,1
759505,0.99985766,1,1
520129,0.99985766,1,1
814046,0.99985766,1,1
409347,0.9998559,1,1
985014,0.9998559,1,1
942715,0.9998559,1,1
947529,0.9998559,1,1
514858,0.9998559,1,1
443336,0.9998559,1,1
445514,0.9998559,1,1
425667,0.9998559,1,1
552944,0.9998559,1,1
767369,0.9998559,1,1
457770,0.9998559,1,1
576300,0.9998559,1,1
689015,0.9998559,1,1
378177,0.9998559,1,1
456429,0.9998559,1,1
699354,0.9998559,1,1
473066,0.9998559,1,1
816591,0.9998559,1,1
449432,0.9998559,1,1
158618,0.9998559,1,1
943076,0.9998559,1,1
708999,0.9998559,1,1
469666,0.9998559,1,1
530798,0.9998559,1,1
873372,0.9998559,1,1
401961,0.9998559,1,1
177947,0.9998559,1,1
619208,0.9998559,1,1
677765,0.9998559,1,1
753672,0.9998559,1,1
853441,0.9998559,1,1
809709,0.9998559,1,1
444638,0.9998559,1,1
880009,0.9998559,1,1
572869,0.9998559,1,1
646162,0.9998559,1,1
869153,0.9998559,1,1
952978,0.9998559,1,1
428604,0.9998559,1,1
731810,0.9998559,1,1
883430,0.9998559,1,1
247167,0.9998559,1,1
590893,0.9998559,1,1
887192,0.9998559,1,1
337429,0.9998559,1,1
658117,0.9998559,1,1
480769,0.9998559,1,1
491903,0.9998559,1,1
397045,0.9998559,1,1
468022,0.9998559,1,1
944326,0.9998559,1,1
731371,0.9998559,1,1
661206,0.9998559,1,1
559036,0.9998559,1,1
929532,0.9998559,1,1
423004,0.9998559,1,1
294231,0.9998559,1,1
662943,0.9998559,1,1
167132,0.9998559,1,1
725523,0.9998559,1,1
945966,0.9998559,1,1
643377,0.9998559,1,1
556268,0.9998559,1,1
113122,0.9998559,1,1
120629,0.9998559,1,1
785635,0.9998559,1,1
894916,0.9998559,1,1
325163,0.9998559,1,1
596936,0.9998559,1,1
268345,0.9998559,1,1
335695,0.9998559,1,1
993706,0.9998559,1,1
454135,0.9998559,1,1
290159,0.9998559,1,1
782821,0.9998559,1,1
463937,0.9998559,1,1
481028,0.9998559,1,1
944069,0.9998559,1,1
577285,0.9998559,1,1
752844,0.9998559,1,1
567049,0.9998559,1,1
969539,0.9998559,1,1
624003,0.9998559,1,1
715336,0.9998559,1,1
978551,0.9998559,1,1
244501,0.9998559,1,1
776291,0.9998559,1,1
874977,0.9998559,1,1
453859,0.9998559,1,1
771447,0.9998559,1,1
805661,0.9998559,1,1
756871,0.9998559,1,1
624280,0.9998559,1,1
685859,0.9998559,1,1
907663,0.9998559,1,1
828677,0.9998559,1,1
990934,0.9998559,1,1
594751,0.9998559,1,1
774910,0.9998559,1,1
560249,0.9998559,1,1
998315,0.9998559,1,1
567993,0.9998559,1,1
171662,0.9998559,1,1
284751,0.9998559,1,1
829013,0.9998559,1,1
622169,0.9998559,1,1
819491,0.9998559,1,1
231965,0.9998559,1,1
641667,0.9998559,1,1
448825,0.9998559,1,1
762277,0.9998559,1,1
834853,0.9998559,1,1
454158,0.9998559,1,1
988429,0.9998559,1,1
684513,0.9998559,1,1
465802,0.9998559,1,1
440103,0.9998559,1,1
469205,0.9998559,1,1
632363,0.9998559,1,1
246096,0.9998559,1,1
276018,0.9998559,1,1
570222,0.9998559,1,1
222126,0.9998559,1,1
168667,0.9998559,1,1
222706,0.9998559,1,1
356175,0.9998559,1,1
295771,0.9998559,1,1
996290,0.9998559,1,1
178912,0.9998559,1,1
140168,0.9998559,1,1
720421,0.9998559,1,1
985685,0.9998559,1,1
633376,0.9998559,1,1
731478,0.9998559,1,1
758928,0.9998559,1,1
414608,0.9998559,1,1
499338,0.9998559,1,1
128344,0.9998559,1,1
779608,0.9998559,1,1
316940,0.9998559,1,1
999383,0.9998559,1,1
826695,0.9998559,1,1
380971,0.9998559,1,1
725117,0.9998559,1,1
458757,0.9998559,1,1
687461,0.9998559,1,1
126313,0.9998559,1,1
265964,0.9998559,1,1
420604,0.9998559,1,1
513738,0.9998559,1,1
964574,0.9998559,1,1
217722,0.9998559,1,1
350263,0.9998559,1,1
303781,0.9998559,1,1
575787,0.9998559,1,1
228020,0.9998559,1,1
632705,0.9998559,1,1
787256,0.9998559,1,1
258552,0.9998559,1,1
647039,0.9998559,1,1
417624,0.9998559,1,1
220841,0.9998559,1,1
407619,0.9998559,1,1
323369,0.9998559,1,1
967040,0.9998559,1,1
626711,0.9998559,1,1
954534,0.9998559,1,1
128186,0.9998559,1,1
804422,0.9998559,1,1
941646,0.9998559,1,1
904539,0.9998559,1,1
215410,0.9998559,1,1
173889,0.9998559,1,1
678235,0.9998559,1,1
654786,0.9998559,1,1
761962,0.9998559,1,1
366930,0.9998559,1,1
228679,0.9998559,1,1
416392,0.9998559,1,1
285755,0.9998559,1,1
682674,0.9998559,1,1
223257,0.9998559,1,1
501213,0.9998559,1,1
153474,0.9998559,1,1
940242,0.9998559,1,1
699270,0.9998559,1,1
126725,0.9998559,1,1
124290,0.9998559,1,1
279037,0.9998559,1,1
480603,0.9998559,1,1
464607,0.9998559,1,1
309982,0.9998559,1,1
843357,0.9998559,1,1
943333,0.9998559,1,1
899106,0.9998559,1,1
323052,0.9998559,1,1
537312,0.9998559,1,1
317412,0.9998559,1,1
514373,0.9998559,1,1
648458,0.9998559,1,1
424105,0.9998559,1,1
405611,0.9998559,1,1
318706,0.9998559,1,1
302746,0.9998559,1,1
471320,0.9998559,1,1
875256,0.9998559,1,1
504960,0.9998559,1,1
247996,0.9998559,1,1
615706,0.9998559,1,1
908654,0.9998559,1,1
201835,0.9998559,1,1
362236,0.9998559,1,1
637603,0.9998559,1,1
204456,0.9998559,1,1
772375,0.9998559,1,1
637538,0.9998559,1,1
636419,0.9998559,1,1
532540,0.9998559,1,1
541554,0.9998559,1,1
458688,0.9998559,1,1
576764,0.9998559,1,1
872034,0.9998559,1,1
