用户ID,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,cnt_buy,cnt_fav,cnt_pv,pv_to_buy_rate,fav_to_buy_rate,converted,fav_category,avg_price,category_diversity,active_days,peak_hour,night_buy_pct,weekend_pct,fav_category_code
467451,364.0,1.0,171.39,4.0,2.9487038058466633,1.0,7.948703805846663,1,0,0,1.0,1.0,1,服装鞋帽,171.39,1.0,1,14,0.0,0.0,2
423371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,未知,0.0,0.0,1,18,0.0,0.0,3
164065,364.0,1.0,1626.43,4.0,2.9487038058466633,3.0,9.948703805846662,1,0,0,1.0,1.0,1,美妆护肤,1626.43,1.0,1,11,0.0,0.0,5
356777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,未知,0.0,0.0,1,13,0.0,0.0,3
661620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,未知,0.0,0.0,1,0,1.0,0.0,3
475493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,未知,0.0,0.0,1,16,0.0,0.0,3
845325,364.0,1.0,487.8,4.0,2.9487038058466633,2.0,8.948703805846662,1,0,0,1.0,1.0,1,家居用品,487.8,1.0,1,12,0.0,0.0,0
196796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,未知,0.0,0.0,1,23,1.0,0.0,3
422715,364.0,1.0,877.02,4.0,2.9487038058466633,3.0,9.948703805846662,1,0,0,1.0,1.0,1,美妆护肤,877.02,1.0,1,14,0.0,0.0,5
905902,364.0,1.0,3630.35,4.0,2.9487038058466633,4.0,10.948703805846662,1,0,0,1.0,1.0,1,家用电器,3630.35,1.0,1,19,0.0,0.0,1
514246,364.0,1.0,263.2,4.0,2.9487038058466633,1.0,7.948703805846663,1,0,0,1.0,1.0,1,家居用品,263.2,1.0,1,0,1.0,0.0,0
437875,364.0,1.0,3613.91,4.0,2.9487038058466633,4.0,10.948703805846662,1,0,0,1.0,1.0,1,电子产品,3613.91,1.0,1,20,0.0,0.0,4
384702,364.0,1.0,4658.14,4.0,2.9487038058466633,4.0,10.948703805846662,1,0,0,1.0,1.0,1,家用电器,4658.14,1.0,1,10,0.0,0.0,1
222363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0,未知,0.0,0.0,1,0,1.0,0.0,3
397219,364.0,1.0,2619.79,4.0,2.9487038058466633,3.0,9.948703805846662,1,0,0,1.0,1.0,1,家用电器,2619.79,1.0,1,12,0.0,0.0,1
474515,364.0,1.0,185.44,4.0,2.9487038058466633,1.0,7.948703805846663,1,0,0,1.0,1.0,1,服装鞋帽,185.44,1.0,1,12,0.0,0.0,2
173361,364.0,1.0,309.81,4.0,2.9487038058466633,2.0,8.948703805846662,1,0,0,1.0,1.0,1,服装鞋帽,309.81,1.0,1,17,0.0,0.0,2
357190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,未知,0.0,0.0,1,7,0.0,0.0,3
951059,334.0,2.0,1702.02,4.0,4.947812804955662,3.0,11.947812804955662,2,1,0,2.0,1.0,1,美妆护肤,851.01,2.0,3,18,0.0,0.0,5
605558,364.0,1.0,1988.84,4.0,2.9487038058466633,3.0,9.948703805846662,1,0,0,1.0,1.0,1,美妆护肤,1988.84,1.0,1,3,0.0,0.0,5
504433,364.0,1.0,95.77,4.0,2.9487038058466633,1.0,7.948703805846663,1,0,0,1.0,1.0,1,食品饮料,95.77,1.0,1,13,0.0,0.0,6
305473,128.0,2.0,1894.69,2.0,4.947812804955662,3.0,9.947812804955662,2,0,0,2.0,2.0,1,美妆护肤,947.345,1.0,2,5,0.5,0.5,5
717987,364.0,1.0,636.54,4.0,2.9487038058466633,2.0,8.948703805846662,1,0,0,1.0,1.0,1,服装鞋帽,636.54,1.0,1,8,0.0,0.0,2
522249,364.0,1.0,512.22,4.0,2.9487038058466633,2.0,8.948703805846662,1,0,0,1.0,1.0,1,家居用品,512.22,1.0,1,8,0.0,0.0,0
511551,364.0,1.0,7550.67,4.0,2.9487038058466633,4.0,10.948703805846662,1,0,0,1.0,1.0,1,电子产品,7550.67,1.0,1,13,0.0,0.0,4
987607,364.0,1.0,4374.73,4.0,2.9487038058466633,4.0,10.948703805846662,1,0,0,1.0,1.0,1,电子产品,4374.73,1.0,1,5,0.0,0.0,4
725913,364.0,1.0,202.12,4.0,2.9487038058466633,1.0,7.948703805846663,1,0,0,1.0,1.0,1,服装鞋帽,202.12,1.0,1,22,1.0,0.0,2
469186,364.0,1.0,1677.64,4.0,2.9487038058466633,3.0,9.948703805846662,1,0,0,1.0,1.0,1,美妆护肤,1677.64,1.0,1,17,0.0,0.0,5
285804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0,未知,0.0,0.0,1,13,0.0,0.0,3
566458,364.0,1.0,85.22,4.0,2.9487038058466633,1.0,7.948703805846663,1,0,0,1.0,1.0,1,食品饮料,85.22,1.0,1,8,0.0,0.0,6
223644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,未知,0.0,0.0,1,15,0.0,0.0,3
343899,364.0,1.0,593.11,4.0,2.9487038058466633,2.0,8.948703805846662,1,0,0,1.0,1.0,1,服装鞋帽,593.11,1.0,1,3,0.0,0.0,2
694298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,未知,0.0,0.0,1,10,0.0,0.0,3
832234,364.0,1.0,1195.18,4.0,2.9487038058466633,3.0,9.948703805846662,1,0,0,1.0,1.0,1,家用电器,1195.18,1.0,1,3,0.0,0.0,1
377314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0,未知,0.0,0.0,1,8,0.0,0.0,3
677388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0,未知,0.0,0.0,1,0,1.0,0.0,3
488363,364.0,1.0,482.21,4.0,2.9487038058466633,2.0,8.948703805846662,1,0,0,1.0,1.0,1,家居用品,482.21,1.0,1,16,0.0,0.0,0
836744,364.0,1.0,290.94,4.0,2.9487038058466633,2.0,8.948703805846662,1,0,0,1.0,1.0,1,服装鞋帽,290.94,1.0,1,12,0.0,0.0,2
